"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"010016","42.369029453","-71.1103747267",60006
"010016","42.369029453","-71.1103747267",70001
"010016","42.3689892936","-71.1102654387",70002
"010016","42.3687207682","-71.1095725087",70003
"010016","42.3684130143","-71.1088842677",70004
"010016","42.3684130143","-71.1088842677",80001
"010016","42.368366283","-71.1087794629",80002
"010016","42.3680727356","-71.1081547896",80003
"010016","42.368026852","-71.1080573816",80004
"010016","42.3678393612","-71.1077147713",80005
"010016","42.367819683","-71.1076575363",80006
"010016","42.3676070243","-71.1073380273",80007
"010016","42.3674127408","-71.107015816",80008
"010016","42.3672491542","-71.1067633537",80009
"010016","42.3672491542","-71.1067633537",90001
"010016","42.3671972908","-71.106683007",90002
"010016","42.366973877","-71.1063487698",90003
"010016","42.366779611","-71.1060324852",90004
"010016","42.366779611","-71.1060324852",100001
"010016","42.3665762355","-71.1057007178",100002
"010016","42.3663996183","-71.1054102297",100003
"010016","42.365974042","-71.1046998281",100004
"010016","42.3656005423","-71.1040527557",100005
"010016","42.3655472426","-71.1039542908",100006
"010016","42.3654035208","-71.1037350221",100007
"010016","42.3650572301","-71.1031814078",100008
"010016","42.3649628317","-71.1030217776",100009
"010016","42.3649628317","-71.1030217776",110001
"010016","42.3646995046","-71.1025753275",110002
"010016","42.3644122017","-71.1020997999",110003
"010016","42.3639874241","-71.1013883277",110004
"010016","42.3638750511","-71.1011895939",110005
"010016","42.3637129477","-71.1008938588",110006
"010016","42.363504969","-71.1005051698",110007
"010016","42.3631800839","-71.0999566346",110008
"010016","42.3629680787","-71.0995946187",110009
"010016","42.3628744946","-71.0994338839",110010
"010016","42.3628744946","-71.0994338839",120001
"010016","42.3628529611","-71.0993966486",120002
"010016","42.3626369","-71.0990524229",120003
"010016","42.3619657087","-71.097955154",120004
"010016","42.3617397285","-71.0976006408",120005
"010016","42.3617101849","-71.0975486574",120006
"010016","42.3617101849","-71.0975486574",130001
"010016","42.3613705738","-71.0969521456",130002
"010016","42.361126799","-71.0965322617",130003
"010016","42.3608228196","-71.096003614",130004
"010016","42.3607838884","-71.0959354119",130005
"010016","42.3607838884","-71.0959354119",140001
"010016","42.3603893256","-71.0952434385",140002
"010016","42.3601525114","-71.0948538631",140003
"010016","42.3597623111","-71.0943113546",140004
"010016","42.3595958515","-71.0941081836",140005
"010016","42.3593314482","-71.0938331232",140006
"010016","42.3592020453","-71.0937111157",140007
"010016","42.3589794446","-71.0935401282",140008
"010016","42.3589794446","-71.0935401282",150001
"010016","42.3589750424","-71.0935368266",150002
"010016","42.3588774125","-71.093476035",150003
"010016","42.3587168084","-71.0933771692",150004
"010016","42.3584490014","-71.0932264544",150005
"010016","42.3581752098","-71.093090579",150006
"010016","42.357609467","-71.0928052591",150007
"010016","42.3575814295","-71.0927917501",150008
"010016","42.3575814295","-71.0927917501",160001
"010016","42.3572694417","-71.092640955",160002
"010016","42.3570099615","-71.0925172019",160003
"010016","42.3543298078","-71.0912018448",160004
"010016","42.3517659063","-71.0899409683",160005
"010016","42.3509107718","-71.08953513",160006
"010016","42.3509107718","-71.08953513",170001
"010016","42.3508340814","-71.0894986329",170002
"010016","42.3505022591","-71.0893276519",170003
"010016","42.3504436845","-71.0892925175",170004
"010016","42.3500500419","-71.0890997436",170005
"010016","42.3496904911","-71.0889252476",170006
"010016","42.3492506264","-71.0886987445",170007
"010016","42.3490060082","-71.0885886142",170008
"010016","42.3490060082","-71.0885886142",180001
"010016","42.3488842492","-71.0885339157",180002
"010016","42.3488507257","-71.088521186",180003
"010016","42.3484641738","-71.0883165378",180004
"010016","42.3481051718","-71.088142417",180005
"010016","42.3479559179","-71.088072732",180006
"010016","42.3479559179","-71.088072732",190001
"010016","42.3472857835","-71.0877589589",190002
"010016","42.3468997604","-71.0875491381",190003
"010016","42.3466312321","-71.0874291843",190004
"010016","42.3464720514","-71.0873462502",190005
"010016","42.3459098867","-71.0870684093",190006
"010016","42.3454659512","-71.0868556461",190007
"010016","42.3454659512","-71.0868556461",200001
"010016","42.3454390132","-71.086842875",200002
"010016","42.3449373328","-71.0865972001",200003
"010016","42.3448468787","-71.0865489628",200004
"010016","42.3434727988","-71.0859080212",200005
"010016","42.3433889367","-71.0858615924",200006
"010016","42.3433889367","-71.0858615924",210001
"010016","42.3433735394","-71.0858531854",210002
"010016","42.3433181832","-71.0857976925",210003
"010016","42.3428111121","-71.0850471567",210004
